Obs;Make;Model;Cylinders;Horsepower;MPG_City;MPG_Highway;Weight;Wheelbase;Year;Milage
1;Acura;MDX;6;265;17;23;4451;106,2019,32724
2;Acura;RSX Type S 2dr;4;200;24;31;2778;101,2020,2640
3;Acura;TSX 4dr;4;200;22;29;3230;105,2018,7932
4;Acura;TL 4dr;6;270;20;28;3575;108,2011,1664
5;Acura;3.5 RL 4dr;6;225;18;24;3880;115,2012,11585
6;Acura;3.5 RL w/Navigation 4dr;6;225;18;24;3893;115,2013,30139
7;Acura;NSX coupe 2dr manual S;6;290;17;24;3153;100,2014,3881
8;Audi;A4 1.8T 4dr;4;170;22;31;3252;104,2015,8962
9;Audi;A41.8T convertible 2dr;4;170;23;30;3638;105,2016,24043
10;Audi;A4 3.0 4dr;6;220;20;28;3462;104,2017,1795
11;Audi;A4 3.0 Quattro 4dr manual;6;220;17;26;3583;104,2018,12209
12;Audi;A4 3.0 Quattro 4dr auto;6;220;18;25;3627;104,2019,16774
13;Audi;A6 3.0 4dr;6;220;20;27;3561;109,2020,26247
14;Audi;A6 3.0 Quattro 4dr;6;220;18;25;3880;109,2018,30488
15;Audi;A4 3.0 convertible 2dr;6;220;20;27;3814;105,2011,27840
16;Audi;A4 3.0 Quattro convertible 2dr;6;220;18;25;4013;105,2012,24390
17;Audi;A6 2.7 Turbo Quattro 4dr;6;250;18;25;3836;109,2013,12333
18;Audi;A6 4.2 Quattro 4dr;8;300;17;24;4024;109,2014,17272
19;Audi;A8 L Quattro 4dr;8;330;17;24;4399;121,2015,30339
20;Audi;S4 Quattro 4dr;8;340;14;20;3825;104,2016,10321
21;Audi;RS 6 4dr;8;450;15;22;4024;109,2017,31683
22;Audi;TT 1.8 convertible 2dr (coupe);4;180;20;28;3131;95,2018,19238
23;Audi;TT 1.8 Quattro 2dr (convertible);4;225;20;28;2921;96,2019,24694
24;Audi;TT 3.2 coupe 2dr (convertible);6;250;21;29;3351;96,2020,29408
25;Audi;A6 3.0 Avant Quattro;6;220;18;25;4035;109,2018,28714
26;Audi;S4 Avant Quattro;8;340;15;21;3936;104,2011,16233
27;BMW;X3 3.0i;6;225;16;23;4023;110,2012,26986
28;BMW;X5 4.4i;8;325;16;22;4824;111,2013,5239
29;BMW;325i 4dr;6;184;20;29;3219;107,2014,24362
30;BMW;325Ci 2dr;6;184;20;29;3197;107,2015,25674
31;BMW;325Ci convertible 2dr;6;184;19;27;3560;107,2016,14425
32;BMW;325xi 4dr;6;184;19;27;3461;107,2017,27840
33;BMW;330i 4dr;6;225;20;30;3285;107,2018,27934
34;BMW;330Ci 2dr;6;225;20;30;3285;107,2019,23755
35;BMW;330xi 4dr;6;225;20;29;3483;107,2020,6634
36;BMW;525i 4dr;6;184;19;28;3428;114,2018,16934
37;BMW;330Ci convertible 2dr;6;225;19;28;3616;107,2011,1887
38;BMW;530i 4dr;6;225;20;30;3472;114,2012,32487
39;BMW;545iA 4dr;8;325;18;26;3814;114,2013,2754
40;BMW;745i 4dr;8;325;18;26;4376;118,2014,19508
41;BMW;745Li 4dr;8;325;18;26;4464;123,2015,21873
42;BMW;M3 coupe 2dr;6;333;16;24;3415;108,2016,27470
43;BMW;M3 convertible 2dr;6;333;16;23;3781;108,2017,6800
44;BMW;Z4 convertible 2.5i 2dr;6;184;20;28;2932;98,2018,1964
45;BMW;Z4 convertible 3.0i 2dr;6;225;21;29;2998;98,2019,4336
46;BMW;325xi Sport;6;184;19;26;3594;107,2020,25821
47;Buick;Rainier;6;275;15;21;4600;113,2018,29655
48;Buick;Rendezvous CX;6;185;19;26;4024;112,2011,12391
49;Buick;Century Custom 4dr;6;175;20;30;3353;109,2012,28728
50;Buick;LeSabre Custom 4dr;6;205;20;29;3567;112,2013,9183
51;Buick;Regal LS 4dr;6;200;20;30;3461;109,2014,5242
52;Buick;Regal GS 4dr;6;240;18;28;3536;109,2015,31984
53;Buick;LeSabre Limited 4dr;6;205;20;29;3591;112,2016,4055
54;Buick;Park Avenue 4dr;6;205;20;29;3778;114,2017,8454
55;Buick;Park Avenue Ultra 4dr;6;240;18;28;3909;114,2018,33545
56;Cadillac;Escalade;8;295;14;18;5367;116,2019,30686
57;Cadillac;SRX V8;8;320;16;21;4302;116,2020,1716
58;Cadillac;CTS VVT 4dr;6;255;18;25;3694;113,2018,5159
59;Cadillac;Deville 4dr;8;275;18;26;3984;115,2011,3278
60;Cadillac;Deville DTS 4dr;8;300;18;26;4044;115,2012,4853
61;Cadillac;Seville SLS 4dr;8;275;18;26;3992;112,2013,4348
62;Cadillac;XLR convertible 2dr;8;320;17;25;3647;106,2014,8888
63;Cadillac;Escalade EXT;8;345;13;17;5879;130,2015,22677
64;Chevrolet;Suburban 1500 LT;8;295;14;18;4947;130,2016,20476
65;Chevrolet;Tahoe LT;8;295;14;18;5050;116,2017,32208
66;Chevrolet;TrailBlazer LT;6;275;16;21;4425;113,2018,31243
67;Chevrolet;Tracker;6;165;19;22;2866;98,2019,23103
68;Chevrolet;Aveo 4dr;4;103;28;34;2370;98,2020,7004
69;Chevrolet;Aveo LS 4dr hatch;4;103;28;34;2348;98,2018,19375
70;Chevrolet;Cavalier 2dr;4;140;26;37;2617;104,2011,20808
71;Chevrolet;Cavalier 4dr;4;140;26;37;2676;104,2012,29446
72;Chevrolet;Cavalier LS 2dr;4;140;26;37;2617;104,2013,13437
